ANIO,NUMERO_MES,MES,TIPO_ACCIDENTE,ID_ESTADO,ESTADO,ID_MUNICIPIO,NOMBRE_MUNICIPIO,TOTAL_ACCIDENTES,SUMA_MUERTOS,SUMA_HERIDOS
2013,2,Febrero,Caída de pasajero,26,Sonora,30,Hermosillo,2,0,3
2013,2,Febrero,Colisión con ciclista,26,Sonora,30,Hermosillo,5,0,6
2013,2,Febrero,Colisión con motocicleta,26,Sonora,30,Hermosillo,11,0,9
2013,2,Febrero,Colisión con objeto fijo,26,Sonora,30,Hermosillo,14,0,7
2013,2,Febrero,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,15,0,15
2013,2,Febrero,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,88,1,86
2013,2,Febrero,Volcadura,26,Sonora,30,Hermosillo,3,0,3
2013,3,Marzo,Caída de pasajero,26,Sonora,30,Hermosillo,5,0,6
2013,3,Marzo,Colisión con ciclista,26,Sonora,30,Hermosillo,7,1,7
2013,3,Marzo,Colisión con motocicleta,26,Sonora,30,Hermosillo,19,0,20
2013,3,Marzo,Colisión con objeto fijo,26,Sonora,30,Hermosillo,16,0,8
2013,3,Marzo,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,20,1,23
2013,3,Marzo,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,88,0,38
2013,3,Marzo,Salida del camino,26,Sonora,30,Hermosillo,3,0,3
2013,3,Marzo,Volcadura,26,Sonora,30,Hermosillo,1,0,0
2013,4,Abril,Caída de pasajero,26,Sonora,30,Hermosillo,2,0,2
2013,4,Abril,Colisión con ciclista,26,Sonora,30,Hermosillo,4,0,4
2013,4,Abril,Colisión con motocicleta,26,Sonora,30,Hermosillo,10,0,8
2013,4,Abril,Colisión con objeto fijo,26,Sonora,30,Hermosillo,17,0,4
2013,4,Abril,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,15,3,12
2013,4,Abril,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,96,0,70
2013,4,Abril,Salida del camino,26,Sonora,30,Hermosillo,1,0,0
2013,4,Abril,Volcadura,26,Sonora,30,Hermosillo,4,0,4
2013,5,Mayo,Colisión con ciclista,26,Sonora,30,Hermosillo,7,0,8
2013,5,Mayo,Colisión con motocicleta,26,Sonora,30,Hermosillo,15,0,16
2013,5,Mayo,Colisión con objeto fijo,26,Sonora,30,Hermosillo,21,1,6
2013,5,Mayo,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,17,0,17
2013,5,Mayo,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,125,0,85
2013,5,Mayo,Salida del camino,26,Sonora,30,Hermosillo,4,0,1
2013,5,Mayo,Volcadura,26,Sonora,30,Hermosillo,3,0,6
